agricola, agricolae (m) | farmer
ieiunum/jejunum, i, (n) | jejunum/ second part of the small intestine
ileus, i, (m) | intestinal obstruction
instrumentum, i, (n) | instrument
intestinum, i, (n) | intestine
ligamentum, i, (n) | ligament
medicamentum, i, (n) | remedy
methodus, i, (f) | method
morbillus, i (m) | measles
musculus, i, (m) | muscle
nasus, i, (m) | nose
neonatus, i, (m) | newborn boy
nucleus, i, (m) | core, nucleus
olecranon, i, (n) | (G) olecranon
orificium, i, (n) | orifice/entrance/opening
ostium, i, (n) | orifice/entrance
ovarium, i, (n) | ovary
pylorus, i, (m) | pylorus (part of stomach)
ramus, i, (m) | branch
rectum, i, (n) | rectum, upright gut
scriptum, i, (n) | manual/textbook
sedativum, i, (n) | sedative (remedy)
septum, i, (n) | thin partition
sputum, i, (n) | sputum
suppositorium, i, (n) | suppository/insertion
thymus, i, (m) | thymus
tuberculum, i, (n) | small tubercle
venenum, i, (n) | venom/poison
virus, i, (n) | virus
maritus (m) | husband
modus (m) | measure, manner, kind
mundus (m) | world, universe, heavens
murus (m) | wall
natus (m) | son
negotium (n) | business
nuntius (m) | messenger, news
odium (n) | hatred
officium (n) | service, duty
oppidum (n) | town
otium (n) | leisure
pontus (m) | the open sea, the deep
populus (m) | people
praeceptum (n) | rule, precept, command
praemium (n) | bounty, reward
praesidium (n) | garrison, protection
pretium (n) | price, worth, reward
principium (n) | beginning
proelium (n) | battle
regnum (n) | kingship, kingdom
reus (m) | defendant
saeculum (n) | generation, age, century
saxum (n) | rock, cliff, crag
sepulcrum (n) | place of burial, tomb, grave
servus (m) | slave
somnus (m) | sleep, slumber
studium (n) | eagerness, zeal
superus, (m) | those above
supplicum (n) | punishment, penalty
tectum (n) | roof; building, house
telum (n) | missile, weapon, spear
templum (n) | consecrated ground, temple
tergum (n) | back, rear
tribunus (m) | tribune
ventus (m) | wind
verbum (n) | word
vestigium (n) | footstep, footprint, track
vinculum (n) | bond, fetter, tie
votum (n) | solemn promise, vow, hope
vulgus (m) | the common people
aevum (n) | age
ager (m) | field
animus (m) | spirit
argentum (n) | silver
armum (n) | arms
arvum (n) | field
astrum (n) | star
auxilium (n) | assistance
barbarus (m) | barbarian
bellum (n) | war
beneficium (n) | kindness
caelum (n) | sky
campus (m) | plain
castrum (n) | fortress
consilium (n) | council
convivium (n) | feast
damnum (n) | damage
deus (m) | god
dolus (m) | device
dominus (m) | mistress
donum (n) | gift
equus (m) | horse
exemplum (n) | example
exsilium (n) | exile
factum (n) | deed
fatum (n) | fate
ferrum (n) | iron
forum (n) | forum
frumentum (n) | grain
gaudium (n) | delight
gladius (m) | sword
humus (m) | ground
imperium (n) | power
ingenium (n) | talent
initium (n) | beginning
iudicium (n) | judgment
iugum (n) | yoke
legatus (m) | envoy
liber (m) | book
acidum, ī, (n) | acid
adultus, ī, (m) | adult/grown-up man
angulus, ī, (m) | angle
annus, ī, (m) | year
annus, ī, (m) | year
atomus, ī, (f) | atomus
bacillus, ī, (m) | bacillus/germ
bonum, ī, (n) | the good/a good thing
caecum, ī, (n) | caecum/blind intestine
cancer, cancrī, (m) | crab, carcinoma
capitulum, ī, (n) | small head
carpus, ī, (m) | wrist
cavum, ī, (n) | cave/cavity
cerebellum, ī, (n) | small brain
cerebrum, ī, (n) | brain
cibus, ī, (m) | meal/food
cibus, ī, (m) | meal/food
circulus, ī, (m) | circle
collum, ī, (n) | neck
condylus, ī, (m) | condyle
cubitus, ī, (m) | elbow
diameter, ī, (f) | diameter
digitus, ī, (m) | finger
dorsum, ī, (n) | the back
ductulus, ī, (m) | small duct
duodenum, ī, (n) | duodenum
emplastrum, ī, (n) | plaster
fundus, ī, (m) | bottom, base of an organ
humerus, ī, (m) | upper arm bone
icterus, ī, (m) | jaundice
isthmus, ī, (m) | narrow passage
labium, ī, (n) | lip
lobus, ī, (m) | lobe
magister, trī, (m) | pharmacist/teacher
magister, trī, (m) | pharmacist/teacher
manubrium, ī, (n) | handle
medicus, ī, (m) | doctor/physician
morbus, ī, (m) | illness/disease
morbus, ī, (m) | illness/disease
nervus, ī, (m) | nerve
numerus, ī, (m) | number
numerus, ī, (m) | number
oculus, ī, (m) | eye
oculus, ī, (m) | eye
oesophagus, ī, (m) | gullet
oleum, ī, (n) | oil
organum, ī, (n) | organ
pericardium, ī, (n) | pericardium
periodus, ī, (f) | period
radius, ī, (m) | radius
remedium, ī, (n) | remedy
scalpellum, ī, (n) | scalpel
signum, ī, (n) | symptom
signum, ī, (n) | symptom
sirupus, ī, (m) | syrup
spasmus, ī, (m) | spasm
spatium, ī, (n) | space
spatium, ī, (n) | space
sternum, ī, (n) | breast bone
sulcus, ī, (m) | furrow
tetanus, ī, (m) | tetanus
toxicum, ī, (n) | poison
typhus, ī, (m) | typhus
unguentum, ī, (n) | ointment
uterus, ī, (m) | womb
ventriculus, ī, (m) | ventricle/small cavity
vestibulum, ī, (n) | vestibule/large entrance
vir, ī, (m) | man
vir, ī, (m) | man
vitium, ī, (n) | defect
vitium, ī, (n) | defect
vitrum, ī, (n) | glass
locus, i, (m) | location, place
membrum, i, (n) | extremity
periculum, i, (n) | danger
puer, pueri, (m) | boy
vinum, i, (n) | wine
aevum, -ī (n.) | lifetime, age, old age; eternity
antrum, -ī (n.) | cave, cavern, grot
arvum, -ī (n.) | field; plowed land
astrum, -ī (n.) | heavenly body, star, planet; constellation; sky
aurum, -ī (n.) | gold; money
auxilium, -ī (n.) | support, assistance; (pl.) auxiliary forces, reinforcements
bonum, -ī (n.) | good, good thing; profit, advantage; material goods, supplies
ceteri, ceterorum (n.) | the others, the rest; all the rest; (pl.) from ceterus, used as a substantive
collum, ī (n.) | neck
cōnsilium, -ī (n.) | plan, idea, advice; council, deliberative body; prudence, discretion
dōnum, -ī (n.) | gift, present
exsilium, -ī (n.) | exile, banishment; those exiled (pl.)
factum, -ī (n.) | fact, deed, act; accomplishment, achievement
fātum, -ī (n.) | fate (lit. that which is spoken)
fretum, -ī (n.) | strait (of water)
iudicium, -ī (n.) | judgement, decision; opinion; trial
iugum, -ī (n.) | yoke; ridge, chain of hills; summit
lētum, -ī (n.) | ruin; (poetry) death
malum, -ī (n.) | evil, mischief; disaster; harm; also: apple
membrum, -ī (n.) | member, limb, organ; male genitals; room; section
monumentum, -ī (n.) | reminder; memorial, monument
ōsculum, -ī (n.) | kiss
ōtium, -ī (n.) | leisure
pelagus, -ī(n.) | sea (esp. the open sea)
perīculum, -ī (n.) | danger, peril
pōculum, -ī (n.) | drinking cup
praeceptum, -ī (n.) | lesson, teaching, precept; command, order
prīncipium, -ī (n.) | beginning
rēgnum, -ī (n.) | royal power; control; kingdom
sacrum, -ī (n.) | sacrifice; sacred vessel; (pl.) religious rites
saeculum, -ī (n.) | a generation; age, esp. century; time in general
saxum, -ī (n.) | stone; stone face, cliff
sepulcrum, -ī (n.) | place of burial, tomb, grave
sertum, -ī (n.) | wreath of flowers, garland
sīgnum, -ī (n.) | sign, signal; mark, a seal; military standard
somnium, -ī (n.) | dream
supplicium, -ī (n.) | punishment, suffering; supplication; torture
tēctum, -ī (n.) | a covered place; roof; building, house
tēlum, -ī (n.) | weapon; bolt, javelin
vadum, -ī (n.) | a ford; shallows, a shoal
vēlum, -ī (n.) | a cloth, covering; esp. sail
venēnum, -ī (n.) | poison, venom; drug
verum, -ī (n.) | truth, reality, fact; as adv. yes, in truth, indeed
vestīgium, -ī (n.) | footstep, footprint, track, trace
vinculum, -ī (n.) | bond, fetter, tie
vīnum, -ī (n.) | wine; vine
vitium, -ī (n.) | flaw, defect, foible; crime; fault
vōtum, -ī (n.) | vow, sacred promise; prayer; sacred offering; vote
vulgus, -ī (n.) | the common people
aedificium, aedificii (aedifici) | , (n.) building
dominus, domini, (m.) | master, lord
hortus, horti, (m.) | garden
maritus, (m) | husband, lover
murus, (m) | wall, rampart, city wall
ager, agri, (m.) | field, farm, land, territory
amicus, amici, (m.) | friend (male)
animus, animi, (m.) | spirit, soul, mind, courage
annus, anni, (m.) | year
argentum, argenti, (n.) | Silver, money
auxillium, auxilii, (n.) | aid, help
bona, bonorum, (npl) | goods, possessions
campus, campi, (m.) | plain, field
captivus, captivi, (m.) | captive, prisoner
cibus, cibi, (m.) | food
consilium, consilii, (n.) | plan, advice, counsel, prudence
deus, dei, (m.) | god, deity
dolus, doli, (m.) | trickery, fraud, deception
donum, doni, (n.) | gift, present
equus, equi, (m.) | horse
exilium, exilii, (n.) | exile, banishment
exitium, exitii, (n.) | destruction, ruin
filius, (f) | son
frumentum, (f) | corn, grain
gladius, gladii, (m.) | sword
humus, humi, (f.) | ground, earth
inimicus, inimici, (m.) | (personal) enemy
legatus, legati, (m.) | (legionary) commander, ambassador, envoy
liber, libri, (m.) | book
liberi, liberorum, (m.) | pl. children
libertus, liberti, (m.) | freedman, ex-slave
locus, loci, (m.) | place, position, situation, opportunity
magister, (m) | teacher, master
modus, (m) | manner, way, kind
morbus, (m) | disease, sickness, illness
numerus, (n) | number, amount, group
nuntius, (n) | messenger, message, news
oculus, oculi, (m.) | eye
otium, otii, (n.) | leisure, idleness, peace
periculum, periculi, (n.) | danger, risk
pilum, pili, (n.) | javelin, spear
populus, populi, (m.) | people, nation
puer, pueri, (m.) | boy, child
regnum, regni, (n.) | kingdom, reign, royal power, rule
responsum, responsi, (n.) | reply, answer
scutum, scuti, (n.) | shield
servus, servi, (m.) | slave, servant
signum, signi, (n.) | sign, signal, standard
silentium, silentii, (n.) | silence
socius, socii, (m.) | ally, comrade, companion
somnus, somni, (m.) | sleep, slumber, dream
sonus, soni, (m.) | noise, sound
spolium, spolii, (n.) | booty, spoil(s)
tectum, tecti, (n.) | roof, house, ceiling
telum, teli, (n.) | weapon, javelin, missile
ventus, venti, (m.) | wind, breeze, blast air
vir, viri, (m.) | man, husband, hero
arma, -orum (npl) | arms, armor; implements of war; gear, tackle
bellum, -ī (n.) | war
beneficium, -ī (n.) | kindness, favor, privilege
caelum, -ī (n.) | sky; heaven
castra, -ōrum (npl) | camp, military encampment
exemplum, -ī (n.) | pattern; copy; analogy; archetype; reproduction, transcription
ferrum, -ī (n.) | iron; iron tool; weapon, sword
forum, -i (n.) | marketplace; Roman forum; place of public meeting
gaudium, -ī (n.) | delight, joy, pleasure
imperium, -ī (n.) | empire, power, command
incendium, -ī (n.) | conflagration; glow, heat
ingenium, -ī (n.) | character; temperament; ability
initium, -ī (n.) | beginning, commencement; entrance
negotium, -ī (n.) | pain, trouble, distress; work, business, activity, job
odium, -ī (n.) | hatred; unpopularity; boredom, impatience
officium, -ī (n.) | service, duty; kindness
oppidum, -ī (n.) | town
praemium, -ī (n.) | bounty, reward
praesidium, -ī (n.) | protection; help; guard; garrison
pretium, -ī (n.) | price
proelium, -ī (n.) | fight, battle
spatium, -ī (n.) | space (of time, usually; sometimes: of place
studium, -ī (n.) | eagerness, devotion; (pl.) pursuits
templum, -ī (n.) | temple, holy place; place marked off for augury
tergum, -ī (n.) | back, rear
verbum, -ī (n.) | word
adeps, adipis (m) | fat
aether, aetheris (m) | ether
calor, caloris (m) | warmth
carbo, carbonis (m) | coal (anthrax) - disease)
cortex, corticis (m) | bark
latex, laticis (m) | latex
lichen, lichenis (m) | lichen, moss
lien, lienis (m) | spleen
liquor, liquoris (m) | liquor
odor, odoris (m) | smell
pulmo, pulmonis (m) | lung
pulvis, pulveris (m) | powder
ren, renis (m) | kidney
sapo, saponis (m) | soap
stipes, stipitis (m) | stipe (a stalk or stem of a seaweed or fungus)
sudor, sudoris (m) | sweat
tendo, tendinis (m) | tendon
thorax, thoracis (m) | thorax
tremor, tremoris (m) | tremor, trembling
tumor, tumoris (m) | tumor, swelling
vapor, vaporis (m) | vapor
absorbtio, absorbtionis (f) | absorption
anxietas, anxietatis (f) | anxiety
appendix, appendicis (f) | appendix, appendage
applicatio, applicationis (f) | application
articulatio, articulationis (f) | joint
cartilago, cartilaginis (f) | cartilage
cervix, cervicis (f) | neck
cicatrix, cicatricis (f) | scar, cicatrix
contusio, contusionis (f) | contusion, bruise
destillatio, destillationis (f) | distillation
digestio, digestionis (f) | digestion
dilatatio, dilatationis (f) | dilatation (the action of dilating)
dosis, dosis (f) | dose
emulsio, emulsionis (f) | emulsion
excretio, excretionis (f) | excretion
extractio, extractionis (f) | extraction
extremitas, extemitatis (f) | limb
faex, (f) | yeast
graviditas, graviditatis (f) | pregnancy
infusio, infusionis (f) | intravenous infusion
inhalatio, inhalationis (f) | inhalation
injectio, injectionis (f) | injection
laesio, laesionis (f) | injury, lesion
maceratio, (m) | maceration (soften via liquid), soaking
mucilago, (m) | mucilage (gelatinous substance of some plants)
nux, (n) | nut
obestias, obesitatis (f) | obesity
obstipatio, obstipationis (f) | constipation
percolatio, percolationis (f) | percolation (filter through a porous surface)
pix, picis (f) | resin, tar
praeparatio, preparationis (f) | dosage form
prurigo, pruriginis (f) | itching
radix, radicis (f) | root
solutio, solutionis (f) | solution
suspensio, suspensionis (f) | suspension
vertigo, vertiginis (f) | vertigo, dizziness
alumen, aluminis (n) | alum (potassium aluminium sulfate)
elixir, elixiris (n) | elixir
lac, lactis (n) | milk
pancreas, pancreatis (n) | pancreas
pectus, pectoris (n) | chest
pondus, ponderis (n) | weight
pus, puris (n) | pus, foul matter (from a sore), bitterness
rhizoma, atis (n) | rhizome
semen, seminis (n) | seed
stigma, stigmatis (n) | mark branded onto runaway slaves/criminals
Sulfur, Sulfuris (n) | sulfur
tuber, tuberis (n) | root, tumor, bump
ulcus, ulceris (n) | ulcer
vas, vasis (n) | vessel
agger, aggeris, (m) | rampart
auctoritas, auctoritatis, (f) | authority, power
certamen, certaminis, (n) | contest, struggle
crux, crucis, (f) | cross
cupido, cupidinis, (f) | desire, passion
dedecus, dedecoris, (n) | disgrace
decus, decoris, (n) | honour
dictator, dictatoris, (m) | dictator
dignitas, dignitatis, (f) | worth, dignity
equites, equitum, (m) | cavalry
fames, (f) | hunger
fons, (f) | fountain
fraus, (f) | deceit; trickery
frigus, (f) | cold
ius, iuris, (n) | law, right
iudex, iudicis, (m) | judge
multido, (m) | crowd
moene, moenis (m) | city walls
munitio, (m) | fortification
munus, (m) | reward
nemo, (n) | no one
nubes, (n) | cloud
occasio, occasionis, (f) | opportunity
onus, oneris, (n) | burden
ops, opis, (f) | help
opes, opium, (f) | wealth
ordo, ordinis, (m) | order, rank
orator, oratoris, (m) | speaker
oratio, orationis, (f) | speech
os, ossis, (n) | bone
parens, parentis, (m) | parent
pes, pedis, (m) | foot
pedites, peditum, (m) | infantry
plebs, plebis, (f) | common people
pons, pontis, (m) | bridge
potestas, potestatis, (f) | power
princeps, principis, (m) | chief, leader
rex, regis, (m) | king
religio, religionis, (f) | religion
rus, ruris, (n) | countryside
sacerdos, sacerdotis, (m) | priest, priestess
salus, salutis, (f) | safety
sanguis, sanguinis, (m) | blood
scelus, sceleris, (n) | crime
sedes, sedis, (f) | seat, residence
senex, senis, (m) | old man
senator, senatoris, (m) | senator
servitudo, servitudinis, (f) | slavery
sol, solis, (m) | sun
statio, stationis, (f) | guard post, position
uxor, uxoris, (f) | wife
vallis, vallis, (f) | valley
ver, veris, (n) | spring
veritas, veritatis, (f) | truth
vesper, vesperis, (m) | evening
vestis, vestis, (f) | clothes
virgo, virginis, (f) | maiden
ariēs, arietis (m) | ram
centuriō, centuriōnis (m) | centurion
clāmor, clāmōris, (m) | to shout
color, coloris, (m) | color
cōnsul, cōnsulis, (m) | consul
dēfēnsor, dēfēnsōris (m) | defender
dictātor, dictātōris, (m) | dictator
dolor, doloris, (m) | pain, grief
explorātor, explorātōris, (m) | scout
frāter, (f) | brother
gladiātor, gladiātōris, (m) | gladiator
imperātor, imperātōris, (m) | general, emperor
leō, leōnis, (m) | lion
maiōrēs, (m) | ancestors
mercātor, (m) | merchant
mīles, (m) | soldier
mōs, (m) | custom
nēmo, (n) | no one
obses, obsidis, (m) | hostage
ōrātor, ōrātōris, (m) | orator, speaker
ōrdō, ōrdinis, (m) | rank, line, order
pedes, peditis, (m) | infantryman
pēs, pedis, (m) | foot
praetor, praetoris, (m) | praetor, judge
prīnceps, prīncipis, (m) | chief, emperor
quaestor, quaestoris (m) | treasurer, quaestor
rēx, rēgis, (m) | king
senātor, senātōris, (m) | senator
sōl, sōlis, (m) | sun
terror, terroris (m) | terror
victor, victoris, (m) | victor, conqueror
facultas, (f) | opportunity, faculty
lātitūdō, lātitūdinis, (f) | width
lēgatio, lēgationis, (f) | embassy
legiō, legiōnis, (f) | legion
lēx, lēgis, (f) | law
lībertās, lībertātis, (f) | freedom
māter, (m) | mother
multitudo, (m) | crowd
mūnitio, (m) | fortification
nātio, (n) | nation, tribe
nōbilitas, (n) | nobility
obsidio, obsidionis, (f) | siege
occāsiō, occāsiōnis, (f) | occasion, opportunity
oppugnatio, oppugnationis, (f) | attack
ōrātiō, ōrātiōnis, (f) | speech
pax, packs, (f) | peace
plēbs, plēbis (f) | common people
possessiō, possessiōnis (f) | possession
potestās, potestātis, (f) | power
profectiō, profectiōnis, (f) | departure
ratiōnēs, ratiōnum, (f) | plan
regiō, regiōnis, (f) | region
salūs, salūtis, (f) | safety, health, welfare
suspīciō, suspīciōnis (f) | suspicion
tempestas, tempestatis, (f) | weather, storm
vis, vis, (f) | force, power, violence
voluntas, voluntatis (f) | will, wish
adulēscēns, adulēscentis (m) | young man
cīvis, cīvis, (m) | citizen
cliēns, -entis, (m) | client
fīnis, (f) | end, boundary
finēs, (f) | boundaries, territory
hostis, hostis, (m) | enemy, host
īgnis, īgnis, (m.) | fire
mēnsis, (m) | month
mōns, (m) | mountain
pōns, pontis, (m) | bridge
altitudo, altitudinis, (f) | altitude
arx, arcis, (f) | citadel, stronghold
auctōritās, auctōritātis, (f) | influence, authority
calamitas, calamitatis, (f) | disaster, calamity
condicio, condicionis (f) | terms, condition, agreement
consuetudo, consuetudinis, (f) | custom
cupiditas, cupiditatis, (f) | desire
deditio, deditionis (f) | to surrender
difficultas, difficultatis, (f) | difficulty
valles, vallis (f) | valley
iūs, iūris, (n) | right, justice, law
latus, lateris (n) | side
nihil, (n) | nothing
opus, operis, (n) | to work
examplar, examplaris, (n) | example
abdomen, abdominis (n) | abdomen
accipiter, accipitris (c.) | hawk
actor, actoris (m) | actor
aedificator, aedificatoris (m) | builder
aestas, aestatis (f) | summer
agmen, agminis (n) | column of march
alces, alcis (f) | moose
Allobroges, -um (m) | The Allobroges (Gallic)
amor, amoris (m) | love
anas, anatis (f) | duck
anser, anseris (m) | goose
apis, apis (f) | bee
Apollo, Apollinis (m) | Apollo
aptenodyctes, aptenodyctis (f) | penguin
Arausio, Arausionis (f) | Arausio
Arelate, (n) | Arelate
aries, arietis (m) | ram
aristis, aristidis (f) | vegetable
ars, artis (f) | art, skill
auris, auris (f) | ear
avis, avis (f) | bird
Bistones, -um (m) | The Bistones (Thracian)
bos, bovis (f) | cow
bubo, bubonis (m) | owl
bufo, bufonis (m) | toad
calx, calcis (c.) | heel
camelopardis, camelopardis (f) | giraffe
cancer, canceris (m) | crab
canis, canis (c.) | dog
Caralis, Caralis (f) | Caralis
carmen, carminis (n) | song, poem
